security,symbol,market_cap,current_price,previous_price,day_low,day_high,year_week_low,year_week_high,sector,move,category
TJX Companies,TJX,140.196,125.5,125.71,124.81,128.09,93.39,131.3,Consumer Discretionary,-0.17,down
Amgen,AMGN,149.413,277.9,278.4,276.42,283.6,253.3,346.85,Health Care,-0.18,down
McDonald's,MCD,227.736,318.48,319.08,314.84,319.89,243.53,326.32,Consumer Discretionary,-0.19,down
3M,MMM,73.225,136.06,136.33,135.2,142.15,90.65,156.35,Industrials,-0.2,down
Edwards Lifesciences,EW,41.272,70.46,70.6,69.84,72.67,58.93,95.25,Health Care,-0.2,down
Public Service Enterprise Group,PEG,40.802,81.84,82.0,81.18,83.93,65.36,95.22,Utilities,-0.2,down
Sherwin-Williams,SHW,83.313,331.25,331.96,330.21,340.34,282.09,400.42,Materials,-0.21,down
A. O. Smith,AOS,9.159,63.81,63.96,63.64,65.57,58.83,92.45,Industrials,-0.23,down
Air Products,APD,58.898,264.74,265.36,262.92,273.46,228.81,341.14,Materials,-0.23,down
Marsh McLennan,MMC,107.927,219.04,219.55,217.82,221.48,196.72,248.0,Financials,-0.23,down
Match Group,MTCH,7.423,29.64,29.71,29.1,30.41,26.39,38.84,Communication Services,-0.24,down
Ulta Beauty,ULTA,17.115,377.74,378.67,375.26,390.86,309.01,460.0,Consumer Discretionary,-0.25,down
CMS Energy,CMS,21.985,73.5,73.7,72.46,73.82,58.5,76.45,Utilities,-0.27,down
Hess Corporation,HES,40.22,130.03,130.38,128.63,132.17,123.79,163.98,Energy,-0.27,down
Allegion,ALLE,10.882,126.46,126.82,126.16,130.84,113.27,156.1,Industrials,-0.28,down
Everest Group,EG,15.195,356.2,357.2,353.94,359.74,320.0,407.3,Financials,-0.28,down
Invitation Homes,INVH,20.807,33.95,34.05,33.61,34.31,29.37,37.8,Real Estate,-0.29,down
Merck & Co.,MRK,198.141,78.74,78.97,78.24,80.2,75.93,134.63,Health Care,-0.29,down
LKQ Corporation,LKQ,10.893,42.13,42.26,42.01,43.1,35.56,46.64,Consumer Discretionary,-0.31,down
Atmos Energy,ATO,25.331,159.59,160.11,157.88,161.47,110.97,161.49,Utilities,-0.32,down
Monster Beverage,MNST,57.504,59.09,59.28,58.51,59.7,43.32,60.34,Consumer Staples,-0.32,down
FirstEnergy,FE,24.568,42.57,42.71,42.03,43.02,37.58,44.97,Utilities,-0.33,down
Bunge Global,BG,10.693,79.82,80.09,79.01,80.98,67.4,114.92,Consumer Staples,-0.34,down
WEC Energy Group,WEC,34.704,108.76,109.13,107.4,109.16,77.47,111.0,Utilities,-0.34,down
Costco,COST,432.964,975.84,979.23,969.0,995.75,714.41,1078.23,Consumer Staples,-0.35,down
